fp_0,fp_1,fp_2,fp_3,fp_4,fp_5,fp_6,fp_7,fp_8,fp_9,fp_10,fp_11,fp_12,fp_13,fp_14,fp_15,fp_16,fp_17,fp_18,fp_19,fp_20,fp_21,fp_22,fp_23,fp_24,fp_25,fp_26,fp_27,fp_28,fp_29,fp_30,fp_31,color_name
0.81882024,0.562371,0.054520708,0.0,0.0,0.0020192855,0.0030289283,0.0010096427,0.0,0.0,0.0030289283,0.0020192855,0.016154284,0.027260354,0.016154284,0.09490642,0.40055907,0.28966048,0.31117812,0.27807406,0.32276452,0.22014196,0.17048588,0.63228744,0.73488027,0.41673088,0.23599814,0.29873183,0.15384689,0.13442932,0.092606865,0.30171913,Black
0.98150605,0.18292436,0.054796726,0.0008058342,0.0016116684,0.0024175025,0.0,0.0008058342,0.0008058342,0.0,0.0008058342,0.0008058342,0.004835005,0.007252508,0.0008058342,0.00967001,0.08729783,0.085766286,0.17765874,0.23126267,0.3185605,0.32009205,0.45639917,0.6983826,0.07192929,0.033966612,0.04495581,0.12188019,0.091909654,0.08591554,0.12687528,0.97204447,Red
0.99021393,0.1304809,0.008004963,0.0,0.0,0.0016009926,0.0048029777,0.0,0.0,0.0,0.0,0.0,0.005603474,0.0048029777,0.0,0.04802978,0.15080933,0.0770439,0.12949932,0.22785324,0.35571334,0.5130796,0.38849798,0.60159814,0.056986496,0.03730025,0.041444726,0.13883983,0.07978109,0.08392557,0.13573147,0.9708427,Red
0.12363224,0.9101437,0.3952286,0.0006576183,0.0,0.0019728548,0.0013152366,0.0006576183,0.0006576183,0.0,0.0,0.0006576183,0.011837129,0.0006576183,0.0,0.0,0.33540675,0.31781986,0.4723331,0.38942355,0.3793739,0.31028265,0.19471177,0.36555567,0.11335773,0.0726874,0.07528338,0.19037177,0.1713346,0.15316273,0.21027426,0.9181111,Gold
0.15138014,0.82782704,0.09209841,0.0455199,0.010586023,0.008468819,0.050812915,0.019054843,0.18948983,0.42238235,0.24241994,0.06669195,0.021172047,0.0042344094,0.0042344094,0.009527422,0.9554174,0.24103235,0.1393922,0.09365413,0.022506032,0.011616017,0.011616017,0.010164015,0.07920341,0.05792488,0.19623531,0.35464212,0.48349544,0.6300809,0.35818854,0.25888875,Gray
0.7580292,0.6515347,0.020505153,0.0026458262,0.0,0.0,0.00066145655,0.0,0.0,0.0,0.0,0.0,0.01918224,0.0,0.0,0.009921848,0.15919098,0.21225464,0.2641893,0.2980597,0.44596055,0.2641893,0.16257803,0.6898276,0.15973186,0.15853985,0.2765507,0.4696594,0.4744275,0.412442,0.2348297,0.44939488,Brown
0.055578835,0.067929685,0.9960962,0.0,0.0,0.0,0.0006175426,0.0,0.0,0.0,0.0,0.0037052557,0.0067929686,0.003087713,0.003087713,0.003087713,0.07799356,0.035555884,0.060789093,0.13763568,0.2328337,0.414054,0.38767385,0.7707598,0.053095248,0.009455318,0.018910635,0.07782454,0.039275937,0.042185266,0.11491848,0.98698974,Yellow
0.07876463,0.9735309,0.2142398,0.0,0.0,0.0006301171,0.0006301171,0.0012602342,0.0012602342,0.0,0.0,0.0063011707,0.009451756,0.0006301171,0.0,0.0012602342,0.16438672,0.40255332,0.51904786,0.4439736,0.42326346,0.22004522,0.18509686,0.2873532,0.096526705,0.044477988,0.108829126,0.1883217,0.12113155,0.17696562,0.3009362,0.8971305,Gold
0.9413806,0.2541391,0.13183816,0.0,0.0,0.0,0.0,0.00056101347,0.0011220269,0.0,0.0,0.0011220269,0.00056101347,0.0016830404,0.0011220269,0.17840229,0.16074935,0.45144576,0.27337015,0.23197958,0.46010888,0.5188257,0.38502836,0.11262079,0.044364855,0.015102929,0.04106109,0.07881841,0.03256569,0.017462762,0.049556486,0.9930176,Red
0.06754828,0.15439609,0.101644084,0.011579706,0.002573268,0.0,0.0064331703,0.011579706,0.028949264,0.9791285,0.03602575,0.010293072,0.0032165851,0.0,0.0,0.002573268,0.29901958,0.29019243,0.1798531,0.08275449,0.2802619,0.33212137,0.22398883,0.7403769,0.11615416,0.019506805,0.019506805,0.123247534,0.13300094,0.2881687,0.83347255,0.41850963,Blue
0.065279216,0.013390608,0.20336986,0.21508664,0.3858169,0.87122643,0.0,0.0,0.0,0.001673826,0.006695304,0.0,0.0,0.0,0.0,0.0,0.1182512,0.19592601,0.23418374,0.3049026,0.74660563,0.29794666,0.32577047,0.21795319,0.11234521,0.008154088,0.028992312,0.115063235,0.11778127,0.18301398,0.7818864,0.56082004,Green
0.07725072,0.8590959,0.50594974,0.0,0.0,0.0,0.0,0.00084890897,0.0,0.0,0.0,0.00084890897,0.0,0.0,0.0,0.0,0.16800193,0.6345197,0.5248325,0.42069906,0.28185448,0.12912545,0.10691032,0.095802754,0.056108423,0.023774754,0.022823764,0.1654723,0.10175595,0.10460892,0.18829605,0.95479417,Gold
0.9485091,0.3148935,0.008614109,0.0,0.0,0.0038284927,0.0019142464,0.0028713695,0.0,0.0,0.0,0.0,0.020099586,0.0,0.0,0.025842326,0.13277394,0.08074091,0.27810755,0.20274939,0.31758088,0.52930146,0.3516715,0.5938942,0.059104938,0.06054652,0.18019798,0.21191283,0.12830096,0.1254178,0.36760387,0.8649503,Red
0.1533467,0.97230095,0.16992472,0.033984944,0.0024867032,0.0,0.017406922,0.0,0.0,0.0033156043,0.0066312086,0.020722527,0.0024867032,0.0041445056,0.011604615,0.011604615,0.6098646,0.53752893,0.53628176,0.14966002,0.14716569,0.044898007,0.027437672,0.06859418,0.26755086,0.16403416,0.22773674,0.45069578,0.39973372,0.4363627,0.3296609,0.4331776,Gray
